verdict,slug,errM,test,subject,relation,direction,anchorKind,anchorName,negated,hedged,surfaces,quote,text
"not-refuted","babcock-crescent-milton","-3179","T1 downtown","polygon:Dempsey","anchor-compass","north","downtown","the downtown core","false","false","hero ld-place sec:about","sits north of the downtown core","Babcock Crescent is a short residential crescent in Milton's Dempsey neighbourhood, a pocket of the town that sits north of the downtown core and west of the escarpment lands."
"not-checkable","babcock-crescent-milton","","","","anchor-compass","west","escarpment","the escarpment lands","false","false","hero ld-place sec:about","west of the escarpment lands","Babcock Crescent is a short residential crescent in Milton's Dempsey neighbourhood, a pocket of the town that sits north of the downtown core and west of the escarpment lands."
"not-refuted","babcock-crescent-milton","-3319","T1 town","polygon:Dempsey","town-compass","north","town","Milton","false","true","sec:about","laid out in the years when the town's northern edge was still filling in","Dempsey itself is a settled part of Milton, laid out in the years when the town's northern edge was still filling in, and Babcock sits within that established fabric rather than at its frontier."
"negated-not-judged","babcock-crescent-milton","","","","edge-of-town","none","built-up-area","that established fabric","true","false","sec:about","Babcock sits within that established fabric rather than at its frontier","Dempsey itself is a settled part of Milton, laid out in the years when the town's northern edge was still filling in, and Babcock sits within that established fabric rather than at its frontier."
"not-checkable","ellis-crescent-milton","","","","anchor-compass","east","escarpment","the escarpment","false","false","hero ld-place sec:about","sits east of the escarpment","Ellis Crescent is a residential crescent in Milton's Dempsey neighbourhood, a pocket of the town that sits east of the escarpment and north of the main commercial corridors."
"not-checkable","ellis-crescent-milton","","","","anchor-compass","north","commercial-corridor","the main commercial corridors","false","false","hero ld-place sec:about","north of the main commercial corridors","Ellis Crescent is a residential crescent in Milton's Dempsey neighbourhood, a pocket of the town that sits east of the escarpment and north of the main commercial corridors."
"not-refuted","elliott-crescent-milton","-457","T1 downtown","polygon:Dorset Park","anchor-compass","west","downtown","the town's historic core","false","false","hero ld-place sec:about","sits west of the town's historic core","Elliott Crescent is a residential crescent in Milton's Dorset Park, a pocket that sits west of the town's historic core and north of the rail corridor."
"not-checkable","elliott-crescent-milton","","","","anchor-compass","north","rail","the rail corridor","false","false","hero ld-place sec:about","north of the rail corridor","Elliott Crescent is a residential crescent in Milton's Dorset Park, a pocket that sits west of the town's historic core and north of the rail corridor."
"not-refuted","hazel-way-milton","-4832","T1 town","polygon:Cobban","town-compass","southeast","town","Milton","false","false","hero ld-place sec:about","a pocket of the town's southeast quadrant","Hazel Way is a short residential way in Milton's Cobban neighbourhood, a pocket of the town's southeast quadrant where the street grid gives way to quieter residential loops."
"MISPLACED","no-1-side-road-milton","-5385","T1 town","street","town-compass","west","town","Milton","false","false","sec:about","what surrounds it, with the rural west stretching out","The street's setting is defined less by what sits on it than by what surrounds it, with the rural west stretching out toward the escarpment and the town's edge."
"not-checkable","no-1-side-road-milton","","","","anchor-compass","west","built-up-area","Milton's built-up edge","false","false","sec:market","The street's position, west of Milton's built-up edge","The street's position, west of Milton's built-up edge and among the rural-residential pockets that define this part of town, means its housing stock and its setting differ from the town's denser subdivisions."
"not-checkable","lloyd-landing-milton","","","","anchor-compass","west","commercial-corridor","the commercial spine","false","false","ld-place","sits west of the commercial spine","Lloyd Landing is a short residential street in Milton's Ford area, a pocket of the town that sits west of the commercial spine and north of the older grid."
"WRONG","lloyd-landing-milton","1863","T1 downtown","polygon:Ford","anchor-compass","north","downtown","the older grid","false","false","ld-place","north of the older grid","Lloyd Landing is a short residential street in Milton's Ford area, a pocket of the town that sits west of the commercial spine and north of the older grid."
"MISPLACED","woodlawn-crescent-milton","-1182","T1 downtown","polygon:Bronte Meadows","anchor-compass","west","downtown","the downtown core","false","false","hero ld-place sec:about","sits west of the downtown core","Woodlawn Crescent is a residential crescent in Milton's Bronte Meadows neighbourhood, a pocket of the town that sits west of the downtown core and north of the main east-west arterial roads."
"no-geometry","woodlawn-crescent-milton","","","","anchor-compass","north","road","the main east-west arterial roads","false","false","hero ld-place sec:about","north of the main east-west arterial roads","Woodlawn Crescent is a residential crescent in Milton's Bronte Meadows neighbourhood, a pocket of the town that sits west of the downtown core and north of the main east-west arterial roads."
"not-refuted","stover-crescent-milton","-3911","T1 town","street","town-compass","east","town","Milton","false","false","hero ld-place sec:about","set within the town's established eastern grid","Stover Crescent is a residential crescent in the Clarke area of Milton, a short, curving street set within the town's established eastern grid."
"not-checkable","first-line-nassagaweya-milton","","","","anchor-compass","west","built-up-area","Milton's built-up edge","false","false","ld-place","running through the countryside west of Milton's built-up edge","First Line Nassagaweya is a rural road running through the countryside west of Milton's built-up edge, in the Nassagaweya area of Rural Milton West."
"not-checkable","stagg-garden-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place","sits west of the escarpment","Stagg Garden is a small residential street in Milton's Harrison area, a pocket of the town that sits west of the escarpment and north of the main east-west corridors."
"no-geometry","stagg-garden-milton","","","","anchor-compass","north","road","the main east-west corridors","false","false","hero ld-place","north of the main east-west corridors","Stagg Garden is a small residential street in Milton's Harrison area, a pocket of the town that sits west of the escarpment and north of the main east-west corridors."
"not-checkable","french-garden-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","ld-place","sits west of the escarpment","French Garden is a residential street in Milton's Beaty neighbourhood, a pocket of the town that sits west of the escarpment and north of the main east-west corridors."
"no-geometry","french-garden-milton","","","","anchor-compass","north","road","the main east-west corridors","false","false","ld-place","north of the main east-west corridors","French Garden is a residential street in Milton's Beaty neighbourhood, a pocket of the town that sits west of the escarpment and north of the main east-west corridors."
"not-refuted","nunn-court-milton","-2422","T1 downtown","polygon:Scott","anchor-compass","west","downtown","the downtown core","false","false","hero ld-place","sits west of the downtown core","Nunn Court is a short residential court in Milton's Scott neighbourhood, a pocket of the town that sits west of the downtown core and north of the main east-west arteries."
"no-geometry","nunn-court-milton","","","","anchor-compass","north","road","the main east-west arteries","false","false","hero ld-place","north of the main east-west arteries","Nunn Court is a short residential court in Milton's Scott neighbourhood, a pocket of the town that sits west of the downtown core and north of the main east-west arteries."
"not-refuted","pine-view-trail-milton","-12929","T1 town","street","town-compass","west","town","Milton","false","false","ld-place","a rural road in the western reach of Milton","Pine View Trail is a rural road in the western reach of Milton, sitting within the Rural Milton West area where the town gives way to open country."
"not-checkable","pine-view-trail-milton","","","","edge-of-town","none","town","Milton","false","false","ld-place","where the town gives way to open country","Pine View Trail is a rural road in the western reach of Milton, sitting within the Rural Milton West area where the town gives way to open country."
"not-refuted","mcdougall-crossing-milton","-3179","T1 town","street","town-compass","west","town","Milton","false","false","ld-place","on the western side of Milton","McDougall Crossing sits in Harrison, on the western side of Milton where the town's newer residential edges meet the older street grid."
"not-checkable","mcdougall-crossing-milton","","","","other-position","none","downtown","the older street grid","false","false","ld-place","where the town's newer residential edges meet the older street grid","McDougall Crossing sits in Harrison, on the western side of Milton where the town's newer residential edges meet the older street grid."
"not-refuted","mclaren-road-milton","-24395","T1 town","polygon:Nassagaweya","town-compass","west","town","Milton","false","false","hero ld-place sec:about","the village of Campbellville, at the western edge of Milton","McLaren Road runs through the village of Campbellville, at the western edge of Milton."
"not-checkable","mclaren-road-milton","","","","anchor-compass","west","built-up-area","the suburban grid","false","false","sec:about","removed from the suburban grid to the east","It is a quiet country road, framed by open fields and mature trees, with a pace that feels removed from the suburban grid to the east."
"no-geometry","mclaren-road-milton","","","","town-compass","east","town","Milton","false","false","sec:differentPriorities","subdivisions on the eastern side of Milton","For those prioritizing newer construction or different lot configurations, subdivisions on the eastern side of Milton present a contrast in era and layout."
"not-checkable","sauble-court-milton","","","","anchor-compass","east","commercial-corridor","the commercial spine","false","false","hero ld-place sec:about","sits east of the commercial spine","Sauble Court is a short residential court in Milton's Bowes area, a pocket of the town that sits east of the commercial spine and north of the Derry Road corridor."
"WRONG","sauble-court-milton","1514","T3 road","polygon:Bowes","anchor-compass","north","road","Derry Road","false","false","hero ld-place sec:about","north of the Derry Road corridor","Sauble Court is a short residential court in Milton's Bowes area, a pocket of the town that sits east of the commercial spine and north of the Derry Road corridor."
"not-checkable","sauble-court-milton","","","","orientation","west","none","","false","false","sec:gettingAround","By car the street opens up westward","By car the street opens up westward."
"not-refuted","peregrine-way-milton","-4273","T1 town","polygon:Scott","town-compass","west","town","Milton","false","false","hero ld-place sec:about","a pocket of west Milton","Peregrine Way is a short residential way in Milton's Scott neighbourhood, a pocket of west Milton where the street grid gives way to quieter internal roads."
"not-checkable","peregrine-way-milton","","","","proximity","none","water/park","Scott Neighbourhood Park - West","false","false","sec:about","with Scott Neighbourhood Park - West a few minutes on foot","It sits among the established residential fabric that defines this part of town, with Scott Neighbourhood Park - West a few minutes on foot and the broader Scott area framing daily life."
"MISPLACED","featherstone-road-milton","-1508","T1 town","polygon:Dempsey","town-compass","west","town","Milton","false","false","hero ld-place sec:about","a pocket of the town's western edge","Featherstone Road is a residential street in Milton's Dempsey neighbourhood, a pocket of the town's western edge where the street grid runs between the escarpment side and the James Snow corridor."
"not-refuted","plum-place-milton","-4832","T1 town","polygon:Cobban","town-compass","south","town","Milton","false","false","hero ld-place sec:about","one of Milton's newer neighbourhoods on the town's southern edge","Plum Place is a short residential street in Cobban, one of Milton's newer neighbourhoods on the town's southern edge."
"not-refuted","coulson-avenue-milton","-1500","T1 town","polygon:Timberlea","town-compass","west","town","Milton","false","false","hero ld-place sec:about","a pocket of west Milton","Coulson Avenue is a residential street in Milton's Timberlea neighbourhood, a pocket of west Milton that sits between the green corridors of the Sam Sherratt trail system and the commercial spine along Main Street East."
"not-checkable","coulson-avenue-milton","","","","anchor-compass","east","water/park","parkland","false","false","sec:about","The street's western edge opens onto parkland","The street's western edge opens onto parkland rather than a hard line of arterial road."
"not-refuted","coulson-avenue-milton","-1500","T1 town","polygon:Timberlea","town-compass","west","town","Milton","false","false","sec:about","one of Milton's established west-side neighbourhoods","Timberlea itself is one of Milton's established west-side neighbourhoods, and Coulson Avenue reads as a quiet interior street within it."
"not-refuted","portch-gate-milton","-3022","T1 downtown","polygon:Scott","anchor-compass","south","downtown","the downtown core","false","false","hero ld-place sec:about","sits south of the downtown core","Portch Gate is a short residential street in the Scott area of Milton, a pocket of the town that sits south of the downtown core and east of the escarpment ridge."
"not-checkable","portch-gate-milton","","","","anchor-compass","east","escarpment","the escarpment ridge","false","false","hero ld-place sec:about","east of the escarpment ridge","Portch Gate is a short residential street in the Scott area of Milton, a pocket of the town that sits south of the downtown core and east of the escarpment ridge."
"not-refuted","nassagaweya-puslinch-townline-milton","-23325","T1 town","street","town-compass","west","town","Milton","false","false","ld-place","running through the western reach of Milton","Nassagaweya Puslinch Townline is a rural road running through the western reach of Milton, in the open country that sits between the town's built edge and the farmland beyond it."
"not-checkable","nassagaweya-puslinch-townline-milton","","","","other-position","none","built-up-area","the town's built edge and the farmland beyond it","false","false","ld-place","the open country that sits between the town's built edge and the farmland beyond it","Nassagaweya Puslinch Townline is a rural road running through the western reach of Milton, in the open country that sits between the town's built edge and the farmland beyond it."
"not-checkable","gleave-terrace-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place sec:about","sits west of the escarpment","Gleave Terrace is a short residential street in Milton's Harrison area, a pocket of the town that sits west of the escarpment and north of the older core."
"WRONG","gleave-terrace-milton","1954","T1 downtown","polygon:Harrison","anchor-compass","north","downtown","the older core","false","false","hero ld-place sec:about","north of the older core","Gleave Terrace is a short residential street in Milton's Harrison area, a pocket of the town that sits west of the escarpment and north of the older core."
"not-refuted","fourth-line-nassagaweya-milton","-24395","T1 town","polygon:Nassagaweya","town-compass","west","town","Milton","false","false","ld-place","the Nassagaweya countryside in Milton's western reaches","Fourth Line Nassagaweya is a rural road running through the Nassagaweya countryside in Milton's western reaches, where the grid gives way to open land and long stretches between neighbours."
"not-refuted","monaghan-crescent-milton","-2585","T1 town","polygon:Willmott","town-compass","west","town","Milton","false","true","hero ld-place sec:about","has filled in steadily as Milton has grown westward","Monaghan Crescent is a residential crescent in Milton's Willmott neighbourhood, a pocket of the town that has filled in steadily as Milton has grown westward."
"not-refuted","oak-street-milton","-1397","T4 proximity (downtown)","polygon:Old Milton","proximity","none","downtown","the historic core of the town","false","false","hero ld-place sec:about","Old Milton, the historic core of the town","Oak Street is a short residential street in Old Milton, the historic core of the town, where the grid tightens and the streets run narrow."
"negated-not-judged","oak-street-milton","","","","edge-of-town","none","town","Milton","true","false","sec:about","central rather than peripheral","The street's position is central rather than peripheral, which shapes how it functions day to day."
"MISPLACED","pears-court-milton","-959","T1 town","polygon:Bowes","town-compass","north","town","Milton","false","false","hero ld-place sec:about","a residential pocket in the north end of town","Pears Court is a quiet cul-de-sac in Milton's Bowes neighbourhood, a residential pocket in the north end of town."
"not-checkable","fitzgerald-crescent-milton","","","","anchor-compass","west","escarpment","the escarpment line","false","false","hero ld-place sec:about","sits west of the escarpment line","Fitzgerald Crescent is a short residential curve in Milton's Dempsey neighbourhood, a pocket of the town that sits west of the escarpment line and north of the main east-west arteries."
"no-geometry","fitzgerald-crescent-milton","","","","anchor-compass","north","road","the main east-west arteries","false","false","hero ld-place sec:about","north of the main east-west arteries","Fitzgerald Crescent is a short residential curve in Milton's Dempsey neighbourhood, a pocket of the town that sits west of the escarpment line and north of the main east-west arteries."
"MISPLACED","fitzgerald-crescent-milton","-1132","T1 town","street","town-compass","west","town","Milton","false","false","sec:about","For anyone learning Milton's west side, Fitzgerald Crescent is a useful reference point","For anyone learning Milton's west side, Fitzgerald Crescent is a useful reference point: small, established, and firmly inside the Dempsey frame."
"not-refuted","menzies-court-milton","-24395","T1 town","polygon:Nassagaweya","town-compass","west","town","Milton","false","false","ld-place","a rural-edge pocket on the western side of town","Menzies Court is a small residential court in Milton's Brookville/Haltonville area, a rural-edge pocket on the western side of town where the street grid gives way to quieter, low-traffic addresses."
"not-refuted","fox-crescent-milton","-3608","T1 town","polygon:Dempsey","town-compass","east","town","Milton","false","false","hero ld-place sec:about","a pocket of the town's eastern edge","Fox Crescent is a residential curve in Milton's Dempsey district, a pocket of the town's eastern edge where the street grid softens into bends and cul-de-sacs."
"MISPLACED","fox-crescent-milton","-596","T1 town","street","town-compass","west","town","Milton","false","false","sec:gettingAround","this far into Milton's western grid","For a street this far into Milton's western grid, the highway and the station are both close enough that neither errand nor departure feels like a production."
"not-checkable","fox-crescent-milton","","","","proximity","none","road","the highway","false","false","sec:gettingAround","the highway and the station are both close enough","For a street this far into Milton's western grid, the highway and the station are both close enough that neither errand nor departure feels like a production."
"not-checkable","fox-crescent-milton","","","","proximity","none","rail","the station","false","false","sec:gettingAround","the highway and the station are both close enough","For a street this far into Milton's western grid, the highway and the station are both close enough that neither errand nor departure feels like a production."
"MISPLACED","wallbrook-crescent-milton","591","T1 town","polygon:Beaty","town-compass","west","town","Milton","false","false","hero ld-place sec:about","a pocket of west Milton","Wallbrook Crescent is a residential crescent in Milton's Beaty neighbourhood, a pocket of west Milton that sits between the town's older core and the newer subdivisions pushing toward the escarpment."
"not-checkable","wallbrook-crescent-milton","","","","other-position","none","downtown","the town's older core","false","false","hero ld-place sec:about","sits between the town's older core and the newer subdivisions pushing toward the escarpment","Wallbrook Crescent is a residential crescent in Milton's Beaty neighbourhood, a pocket of west Milton that sits between the town's older core and the newer subdivisions pushing toward the escarpment."
"not-checkable","14-side-road-milton","","","","anchor-compass","west","built-up-area","Milton's built-up edge","false","false","sec:market","west of Milton's built-up edge","The street sits within Rural Milton West, west of Milton's built-up edge, and its detached character places it alongside the low-density residential fabric that defines this part of the town."
"not-checkable","symons-crossing-milton","","","","anchor-compass","south","escarpment","the escarpment","false","false","hero ld-place sec:about","sits south of the escarpment","Symons Crossing is a residential street in Milton's Coates neighbourhood, a pocket of the town that sits south of the escarpment and west of the main north-south corridors."
"no-geometry","symons-crossing-milton","","","","anchor-compass","west","road","the main north-south corridors","false","false","hero ld-place sec:about","west of the main north-south corridors","Symons Crossing is a residential street in Milton's Coates neighbourhood, a pocket of the town that sits south of the escarpment and west of the main north-south corridors."
"not-refuted","britton-crescent-milton","-3876","T1 town","polygon:Ford","town-compass","east","town","Milton","false","false","faq","one of Milton's east-side residential pockets","Britton Crescent sits within Ford, one of Milton's east-side residential pockets that filled in during the neighbourhood's build-out phase."
"MISPLACED","copley-court-milton","-91","T1 town","street","town-compass","north","town","Milton","false","false","sec:about","sits in the northern part of town","The court sits in the northern part of town, close to the wide green corridors and parkland that define this pocket of Milton."
"not-checkable","copley-court-milton","","","","proximity","none","water/park","the wide green corridors and parkland","false","false","sec:about","close to the wide green corridors and parkland","The court sits in the northern part of town, close to the wide green corridors and parkland that define this pocket of Milton."
"not-checkable","van-fleet-terrace-milton","","","","anchor-compass","north","escarpment","the escarpment edge","false","false","hero ld-place sec:about","sits north of the escarpment edge","Van Fleet Terrace is a short residential street in Milton's Harrison area, a pocket of the town that sits north of the escarpment edge and west of the main north-south corridors."
"no-geometry","van-fleet-terrace-milton","","","","anchor-compass","west","road","the main north-south corridors","false","false","hero ld-place sec:about","west of the main north-south corridors","Van Fleet Terrace is a short residential street in Milton's Harrison area, a pocket of the town that sits north of the escarpment edge and west of the main north-south corridors."
"not-checkable","gorham-way-milton","","","","anchor-compass","east","escarpment","the escarpment","false","false","hero ld-place sec:about","sits east of the escarpment","Gorham Way is a short residential way in Milton's Clarke neighbourhood, a pocket of the town that sits east of the escarpment and north of the main commercial corridors."
"not-checkable","gorham-way-milton","","","","anchor-compass","north","commercial-corridor","the main commercial corridors","false","false","hero ld-place sec:about","north of the main commercial corridors","Gorham Way is a short residential way in Milton's Clarke neighbourhood, a pocket of the town that sits east of the escarpment and north of the main commercial corridors."
"not-refuted","15-side-road-milton","-11647","T1 town","street","town-compass","north","town","Milton","false","false","sec:about","the working landscape of north Milton","What frames it is space, separation, and the working landscape of north Milton."
"not-checkable","bonin-crescent-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place sec:about","sits west of the escarpment","Bonin Crescent is a short residential crescent in Milton's Clarke neighbourhood, a pocket of the town that sits west of the escarpment and north of the main commercial spine."
"not-checkable","bonin-crescent-milton","","","","anchor-compass","north","commercial-corridor","the main commercial spine","false","false","hero ld-place sec:about","north of the main commercial spine","Bonin Crescent is a short residential crescent in Milton's Clarke neighbourhood, a pocket of the town that sits west of the escarpment and north of the main commercial spine."
"MISPLACED","bonin-crescent-milton","62","T1 town","street","town-compass","west","town","Milton","false","false","sec:about","the newer western expansion of Milton","It belongs to the newer western expansion of Milton, where the grid loosens and the streets take on the shapes of the land around them."
"not-checkable","10-side-road-milton","","","","edge-of-town","none","town","Milton","false","false","sec:about","the rural edge of town","What frames it is farmland, tree lines, and the low density that comes with the rural edge of town."
"not-checkable","10-side-road-milton","","","","anchor-compass","west","built-up-area","Milton's built-up core","false","false","sec:about","sits well west of Milton's built-up core","The street sits well west of Milton's built-up core, closer to the hamlets of Campbellville and Brookville than to the town centre."
"not-checkable","10-side-road-milton","","","","proximity","none","other","the hamlets of Campbellville and Brookville","false","false","sec:about","closer to the hamlets of Campbellville and Brookville than to the town centre","The street sits well west of Milton's built-up core, closer to the hamlets of Campbellville and Brookville than to the town centre."
"not-refuted","10-side-road-milton","-13253","T1 town","polygon:Rural Milton West","town-compass","west","town","Milton","false","false","sec:market","the rural western flank of Milton","The street sits within Rural Milton West, the rural western flank of Milton, where the housing stock is dominated by detached homes on larger parcels rather than the denser forms found closer to the town centre."
"no-geometry","10-side-road-milton","","","","proximity","none","downtown","the town centre","false","false","sec:market","the denser forms found closer to the town centre","The street sits within Rural Milton West, the rural western flank of Milton, where the housing stock is dominated by detached homes on larger parcels rather than the denser forms found closer to the town centre."
"not-refuted","10-side-road-milton","-14718","T1 town","street","town-compass","west","town","Milton","false","false","faq","a western-edge address","The street is a western-edge address, and Toronto is a planned trip rather than a quick one."
"not-refuted","valleyview-crescent-milton","-1397","T4 proximity (downtown)","polygon:Old Milton","proximity","none","downtown","the historic core of the town","false","false","hero ld-place sec:about","Old Milton, the historic core of the town","Valleyview Crescent is a residential crescent in Old Milton, the historic core of the town, where the street grid loosens into curving residential pockets."
"not-refuted","walnut-landing-milton","-4832","T1 town","polygon:Cobban","town-compass","south","town","Milton","false","false","hero ld-place sec:about","on the town's southern edge","Walnut Landing is a short residential street in Cobban, one of Milton's newer growth areas on the town's southern edge."
"not-refuted","walnut-landing-milton","-4832","T1 town","polygon:Cobban","town-compass","south","town","Milton","false","false","sec:market","a pocket of south Milton","Walnut Landing sits in Cobban, a pocket of south Milton where the housing runs to townhouse rows and the street pattern is compact."
"MISPLACED","walnut-landing-milton","-66","T1 town","street","town-compass","west","town","Milton","false","false","sec:gettingAround","a street this far west in Milton","For a street this far west in Milton, the highway and the station are both reached without crossing town."
"not-refuted","hood-terrace-milton","530","T1 town","street","town-compass","west","town","Milton","false","false","sec:about","sits in the western part of Milton","The street sits in the western part of Milton, framed by a network of local roads and parks that give the area a settled, suburban feel."
"not-refuted","hood-terrace-milton","530","T1 town","street","town-compass","west","town","Milton","false","false","sec:gettingAround","on the west side of Milton","Hood Terrace sits in Coates, on the west side of Milton, and its position makes highway access the defining commute fact."
"not-refuted","hood-terrace-milton","-790","T1 town","polygon:Coates","town-compass","west","town","Milton","false","false","faq","one of the newer residential pockets in west Milton","Hood Terrace sits within Coates, one of the newer residential pockets in west Milton, and the housing stock reads as established rather than actively under construction."
"WRONG","pratt-heights-milton","1723","T1 town","polygon:Ford","town-compass","north","town","Milton","false","false","hero ld-place sec:about","a residential enclave in the town's northern reaches","Pratt Heights sits in Milton's Ford neighbourhood, a residential enclave in the town's northern reaches."
"not-refuted","shepherd-place-milton","-4079","T1 town","polygon:Beaty","town-compass","northeast","town","Milton","false","false","hero ld-place sec:about","a residential pocket in the city's northeast","Shepherd Place is a quiet cul-de-sac in the Beaty neighbourhood of Milton, a residential pocket in the city's northeast."
"not-checkable","shepherd-place-milton","","","","other-position","none","road","Beaty Boulevard and Thompson Road South","false","false","sec:about","framed by the broader grid of Beaty Boulevard and Thompson Road South","The street runs a short, contained course, framed by the broader grid of Beaty Boulevard and Thompson Road South."
"not-refuted","ware-crescent-milton","-3636","T1 town","polygon:Harrison","town-compass","west","town","Milton","false","false","hero ld-place sec:about","a pocket of west Milton","Ware Crescent is a short residential crescent in Milton's Harrison area, a pocket of west Milton that sits between the town's established grid and the newer edges pushing outward."
"not-checkable","ware-crescent-milton","","","","other-position","none","built-up-area","the town's established grid and the newer edges","false","false","hero ld-place sec:about","sits between the town's established grid and the newer edges pushing outward","Ware Crescent is a short residential crescent in Milton's Harrison area, a pocket of west Milton that sits between the town's established grid and the newer edges pushing outward."
"not-checkable","speck-crossing-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place","sits west of the escarpment","Speck Crossing is a residential street in Milton's Coates neighbourhood, a pocket of the town that sits west of the escarpment and south of the main east-west corridors."
"no-geometry","speck-crossing-milton","","","","anchor-compass","south","road","the main east-west corridors","false","false","hero ld-place","south of the main east-west corridors","Speck Crossing is a residential street in Milton's Coates neighbourhood, a pocket of the town that sits west of the escarpment and south of the main east-west corridors."
"not-checkable","brandon-terrace-milton","","","","anchor-compass","east","escarpment","the escarpment","false","false","hero ld-place sec:about","sits east of the escarpment","Brandon Terrace is a short residential street in Milton's Dempsey neighbourhood, a pocket of the town that sits east of the escarpment and north of the main commercial corridors."
"not-checkable","brandon-terrace-milton","","","","anchor-compass","north","commercial-corridor","the main commercial corridors","false","false","hero ld-place sec:about","north of the main commercial corridors","Brandon Terrace is a short residential street in Milton's Dempsey neighbourhood, a pocket of the town that sits east of the escarpment and north of the main commercial corridors."
"not-refuted","brandon-terrace-milton","-3187","T1 town","street","town-compass","east","town","Milton","false","false","sec:about","For anyone learning the geography of east Milton, Brandon Terrace reads as a local address","For anyone learning the geography of east Milton, Brandon Terrace reads as a local address first and a commuter address second, though the connections to the wider region are close at hand."
"not-checkable","brandon-terrace-milton","","","","proximity","none","other","the connections to the wider region","false","false","sec:about","the connections to the wider region are close at hand","For anyone learning the geography of east Milton, Brandon Terrace reads as a local address first and a commuter address second, though the connections to the wider region are close at hand."
"not-refuted","murray-meadows-place-milton","-3950","T1 downtown","polygon:Clarke","anchor-compass","east","downtown","the town's historic core","false","false","hero ld-place sec:about","sits east of the town's historic core","Murray Meadows Place is a short residential street in the Clarke area of Milton, a pocket that sits east of the town's historic core and north of the Derry Road corridor."
"not-refuted","murray-meadows-place-milton","-1361","T3 road","polygon:Clarke","anchor-compass","north","road","Derry Road","false","false","hero ld-place sec:about","north of the Derry Road corridor","Murray Meadows Place is a short residential street in the Clarke area of Milton, a pocket that sits east of the town's historic core and north of the Derry Road corridor."
"not-checkable","parent-place-milton","","","","anchor-compass","east","commercial-corridor","the main commercial arteries","false","false","sec:about","It sits east of the main commercial arteries","It sits east of the main commercial arteries, yet close enough to the everyday conveniences that shape a routine."
"not-checkable","parent-place-milton","","","","proximity","none","other","the everyday conveniences","false","false","sec:about","close enough to the everyday conveniences","It sits east of the main commercial arteries, yet close enough to the everyday conveniences that shape a routine."
"not-refuted","cargill-path-milton","-790","T1 town","polygon:Coates","town-compass","west","town","Milton","false","false","hero ld-place sec:about","a pocket of west Milton","Cargill Path is a short residential street in Milton's Coates neighbourhood, a pocket of west Milton that sits between Derry Road and the escarpment side of town."
"not-checkable","cargill-path-milton","","","","other-position","none","road","Derry Road and the escarpment side of town","false","false","hero ld-place sec:about","sits between Derry Road and the escarpment side of town","Cargill Path is a short residential street in Milton's Coates neighbourhood, a pocket of west Milton that sits between Derry Road and the escarpment side of town."
"not-refuted","sideroad-10-milton","-14718","T1 town","street","town-compass","west","town","Milton","false","false","hero ld-place sec:about","a rural road in the west of Milton","Side Road is a rural road in the west of Milton, sitting within the Rural Milton West area where the town's street grid gives way to open country."
"not-checkable","sideroad-10-milton","","","","edge-of-town","none","built-up-area","the town's street grid","false","false","hero ld-place sec:about","where the town's street grid gives way to open country","Side Road is a rural road in the west of Milton, sitting within the Rural Milton West area where the town's street grid gives way to open country."
"not-refuted","sinclair-boulevard-milton","-3608","T1 downtown","polygon:Dempsey","anchor-compass","east","downtown","its historic core","false","false","hero ld-place sec:about","took shape as the town pushed east of its historic core","Sinclair Boulevard is a residential street in Milton's Dempsey neighbourhood, a district that took shape as the town pushed east of its historic core."
"not-refuted","sinclair-boulevard-milton","-3608","T1 town","polygon:Dempsey","town-compass","east","town","Milton","false","false","sec:homes","the surrounding pocket of east Milton","What the street holds is a small stock of low-rise residential housing within the Dempsey neighbourhood, consistent with the surrounding pocket of east Milton."
"not-checkable","second-line-nassagaweya-milton","","","","anchor-compass","north","built-up-area","Milton's built-up area","false","false","hero ld-place sec:about","running through the countryside north of Milton's built-up area","Second Line Nassagaweya is a rural road running through the countryside north of Milton's built-up area."
"no-geometry","second-line-nassagaweya-milton","","","","within-area-compass","north","other","Halton","false","false","sec:about","places it at the northern edge of Halton","The street's position places it at the northern edge of Halton rather than within the town grid."
"negated-not-judged","second-line-nassagaweya-milton","","","","other-position","none","built-up-area","the town grid","true","false","sec:about","rather than within the town grid","The street's position places it at the northern edge of Halton rather than within the town grid."
"not-checkable","second-line-nassagaweya-milton","","","","anchor-compass","west","built-up-area","Milton's built edge","false","false","sec:market","Rural Nassagaweya, the low-density agricultural and estate country west of Milton's built edge","It runs through Rural Nassagaweya, the low-density agricultural and estate country west of Milton's built edge, where detached houses on generous lots are the dominant form and the housing stock is established rather than new."
"MISPLACED","morse-place-milton","-1593","T1 town","street","town-compass","north","town","Milton","false","false","sec:about","a settled, low-traffic street in Milton's north end","For those seeking a settled, low-traffic street in Milton's north end, Morse Place presents a straightforward, unassuming address."
"not-checkable","stevenson-street-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place sec:about","sits west of the escarpment","Stevenson Street is a residential street in Milton's Beaty neighbourhood, a pocket of the town that sits west of the escarpment and north of the main commercial corridors."
